study	id	ailbs	air ug	lowarmug	uparmug	chestug	backug	lowlegug	uplegug	faceug	handug	airsamp	
AHE17	17-M1	20.0	2654.2	868	3161	2141	300	307.6363636	1297.454545	78.54545455	3145.454545	1.963636364	
AHE17	17-M2	66.0	3654.5	1325	436	1670	644	77.72727273	2129.454545	384.5454545	17410.90909	0.981818182	
AHE17	17-M3	224	63630.0	26040	3314	15880	2362	916.3636364	1341.818182	11021.81818	39441.81818	17.1	
AHE17	17-M4	660	20320.0	8329	14691	51800	12993	1090.909091	9752.727273	1790	164596.3636	12.98181818	
AHE17	17-M3	1929	864080.0	33340	95487	191127	90475	13600	68363.63636	16494.54545	169170.9091	12.18181818	
AHE18	18-M1	15.1	14661.8	75	140	303	303	1116	160.9090909	354	146.4545455	29.01818182	
AHE18	18-M2	58.0	3207.3	200	30	325	252	190.9090909	147.2727273	1030.909091	4974.545455	3.190909091	
AHE18	18-M3	193	320.73	8073	2924	1467	5114	153.8181818	799.6363636	56.72727273	1865.454545	0.109090909	
AHE18	18-M4	588	5129.1	18175	4102	48060	30166	16058.18182	1350.909091	1374.545455	27180	1.018181818	
AHE18	18-M5	1753	4925.45	27142	1505	5945	2938	1849.090909	1145.454545	3490.909091	8749.090909	0.981818182	
AHE19	19-M1	25.7	10105.5	11618	1077	3120	1655	2378.181818	842.7272727	376.3636364	10254.54545	20.07272727	
AHE19	19-M2	71.8	16189.1	1345	2222	1627	1800	261.0909091	479.4545455	486.8181818	9745.454545	23.67272727	
AHE19	19-M3	245	6904.5	22025	4377	40520	5269	5160	7805.454545	2195.454545	7934.545455	3.363636364	
AHE19	19-M4	712	113541.8	6687	1971	4123	29037	9458.181818	9480	832.7272727	82240	4.4	
AHE19	19-M5	2045	143959.1	92055	25640	25582	49042	14187.27273	5007.272727	23214.54545	106963.6364	2.818181818	
AHE20	20-M1	9.87	4436.4	9630	3578	7720	796	211.2727273	711.2727273	6545.454545	2718.181818	10.76363636	
AHE20	20-M2	54.5	693.6	7800	1523	5447	6740	62.18181818	162.2727273	2283.636364	904	0.290909091	
AHE20	20-M3	179	590.73	4315	1193	3916	20084	402.7272727	4887.272727	3410.909091	15469.09091	0.036363636	
AHE20	20-M4	541	8087.27	347160	29487	72098	53967	4101.818182	1802.727273	6509.090909	33818.18182	0.572727273	
AHE20	20-M5	1064	185680.0	288175	29266	315891	411120	12087.27273	17483.63636	105889.0909	147772.7273	4.727272727	
AHE21	21-M1	4.95	1063.6	1046	53	153	128	27	152.7272727	88	4480	14.27272727	
AHE21	21-M2	50.8	2890.9	811	167	600	104	199.6363636	1542.545455	111.2727273	2544.545455	0.354545455	
AHE21	21-M3	157	1038.55	1244	2009	1709	280	428.1818182	675	12305.45455	40516.36364	0.654545455	
AHE21	21-M4	495	29618.2	11730	4545	2807	3177	25230	3752.727273	7461.818182	21483.63636	1.2	
AHE21	21-M5	1479	40400.00	64644	38965	17055	73036	2364.545455	24480	118505.4545	113580	0.109090909	
													
													
