study	id	ailbs	lowarmug	uparmug	chestug	backug	lowlegug	uplegug	faceug	handug	CRheadug	airsamp	headug		
AHE07	1	75	6032	3624.444444	2071.333333	1877.333333	840.6666667	8648	3568.888889	31093	2496.777778	1.58962963	265770		
AHE07	3	45	92033.33333	11466.66667	25600	6413.333333	915.7777778	18251.11111	6300	16453	8314.74	1.765432099	3942044.444		
AHE07	4	75	10944.44444	2202.888889	3200	1314	366.6666667	2896.444444	1032.888889	12331	603.5333333	1.066666667	340175.5556		
AHE07	6	60	6311.111111	2037.777778	16100	1144.444444	485.1111111	287.2222222	5155.555556	9162	1914.702	4.299909666	866553.3333		
AHE07	8	52	15133.33333	7560	29346.66667	8280	8711.111111	45768.88889	24431.11111	165840	36078.29333	37.28371899	8565120		
AHE07	10	32	12577.77778	45744.44444	25806.66667	4340	267.2222222	3504	2503.666667	30556	890.4819444	5.178571429	213966.6667		
AHE07	12	33	2350	5296	3996	1131.444444	822.2222222	1752.888889	1873.333333	3883.6	2852.979556	16.46945647	238458.8889		
AHE07	13	36	22977.77778	4023.333333	1820	5760	4753.888889	3947.777778	472.8888889	18947	1860.910667	2.920806986	2742186.667		
AHE07	15	24	41946.66667	30658.88889	19146.66667	12533.33333	1438.888889	2960	1633.333333	3911	10019.63333	9.823848238	1318400		
AHE07	16	40	11470	1891.555556	5653.333333	2844	10515.55556	1811.111111	1586.666667	27662	3096.515556	3.211382114	490400		
AHE07	17	34	354	892.4444444	538.7777778	1577.111111	1151.111111	1275.111111	154	253.3	1256.013889	1.173282321	171015.5556		
AHE07	22	60	28964.44444	23433.33333	20350	15844.44444	3366.666667	4223.333333	9822.222222	16140	17479.2	3.416666667	750786.6667		
AHE07	23	90	8933.333333	14924.44444	34955.55556	16231.11111	1250	23800	34400	91598	9600.211111	4.512345679	701861.1111		
AHE07	26	90	34623.33333	57428.88889	9777.777778	3406.666667	1473.333333	3766.666667	27786.66667	65333	46550.71111	4.155374887	328533.3333		
AHE07	27	90	111733.3333	48133.33333	288884.4444	62626.66667	9493.333333	38853.33333	259031.1111	121136	259459.7289	15.80246914	4353415.556		
AHE62	A1	34.3	1657.333333	497.7777778	2104.888889	1856	2566.666667	6013.333333	1206.222222	6624	523.7888889	5.590358243	333000		
AHE62	A2	5	4176	2016.666667	7328.222222	4838.666667	644.4444444	110	6733.333333	266.7	1995.283111	33.42450142	22780		
AHE62	A3	10.4	8630	1323.777778	2831.333333	804.4444444	139.3333333	740.5555556	4256.111111	1318.7	9507.121556	7.990328385	43042.22222		
AHE63	A1	48.4	54666.66667	52260	230102.2222	21195.55556	1878.333333	5366.666667	8960	4840	36459.22222	6.468427591	837063.3333		
AHE63	A2	35.6	177866.6667	86150	62160	4820	3826.666667	3901.333333	2916.444444	13000	2922.93	3.443456873	1568648.889		
AHE63	A3	24.4	18231.11111	1773.333333	4676.666667	5748	1022.222222	2266.666667	2963.333333	392.7	8153.708889	26.69789227	663613.3333		
AHE63	A4	15.2	277.7777778	60	109.3333333	300	117.5555556	208.8888889	117.3333333	1359.6	326.296	2.687003579	3365.555556		
AHE63	A5	6.1	3031.111111	865.7777778	1502.777778	1288	483.5555556	376.8888889	1070.777778	1162.8	2715.663111	8.651192988	16230		
AHE64	A1	63.1	105506.6667	1640	27444.44444	5874.444444	1181.666667	10808.88889	12180	47520	27948.18444	8.513735684	1116800		
AHE64	A2	10.1	257350	45440	260993.3333	48946.66667	2900	10360	155663.3333	16007	34253.86	13.44817409	5465813.333		
AHE64	A3	35.3	19626.66667	3884.444444	3082.222222	1383	4439.111111	1450	1832.222222	5547	570.8355556	2.544720527	43160		
AHE64	A4	25.2	550586.6667	29511.11111	17488.88889	512586.6667	110133.3333	2363106.667	84702.22222	27600	241336.5864	0.6718529	10287524.44		
AHE64	A5	18.2	208.8888889	6.111111111	18.88888889	22.22222222	7.777777778	27.77777778	1550	18.3	1038.657778	0.177196291	2232		
